area_code,primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
K1S,North American Aboriginal origins,,,1090,515,580
K1S,North American Aboriginal origins,First Nations (North American Indian),,735,340,390
K1S,North American Aboriginal origins,Inuit,,10,0,0
K1S,North American Aboriginal origins,Métis,,395,180,210
K1S,Other North American origins,,,7810,3805,4005
K1S,Other North American origins,Acadian,,215,95,120
K1S,Other North American origins,American,,905,460,445
K1S,Other North American origins,Canadian,,7130,3480,3645
K1S,Other North American origins,New Brunswicker,,0,0,0
K1S,Other North American origins,Newfoundlander,,10,10,0
K1S,Other North American origins,Nova Scotian,,0,0,0
K1S,Other North American origins,Ontarian,,0,0,0
K1S,Other North American origins,Québécois,,35,25,10
K1S,Other North American origins,Other North American origins; n.i.e.,,0,0,0
K1S,European origins,,,21855,10595,11260
K1S,European origins,British Isles origins,,15915,7665,8245
K1S,European origins,British Isles origins,Channel Islander,10,0,10
K1S,European origins,British Isles origins,Cornish,0,0,0
K1S,European origins,British Isles origins,English,8520,4135,4385
K1S,European origins,British Isles origins,Irish,7810,3580,4230
K1S,European origins,British Isles origins,Manx,10,0,0
K1S,European origins,British Isles origins,Scottish,7395,3615,3780
K1S,European origins,British Isles origins,Welsh,935,405,530
K1S,European origins,British Isles origins,British Isles origins; n.i.e.,1645,780,865
K1S,European origins,French origins,,5520,2570,2950
K1S,European origins,French origins,Alsatian,0,0,0
K1S,European origins,French origins,Breton,10,0,0
K1S,European origins,French origins,Corsican,0,0,0
K1S,European origins,French origins,French,5520,2570,2950
K1S,European origins,Western European origins (except French origins),,5015,2435,2585
K1S,European origins,Western European origins (except French origins),Austrian,335,130,205
K1S,European origins,Western European origins (except French origins),Bavarian,10,0,0
K1S,European origins,Western European origins (except French origins),Belgian,135,55,75
K1S,European origins,Western European origins (except French origins),Dutch,1330,670,655
K1S,European origins,Western European origins (except French origins),Flemish,15,10,10
K1S,European origins,Western European origins (except French origins),Frisian,10,0,0
K1S,European origins,Western European origins (except French origins),German,3530,1750,1785
K1S,European origins,Western European origins (except French origins),Luxembourger,0,0,0
K1S,European origins,Western European origins (except French origins),Swiss,210,80,125
K1S,European origins,Western European origins (except French origins),Western European origins; n.i.e.,10,0,10
K1S,European origins,Northern European origins (except British Isles origins),,1230,580,645
K1S,European origins,Northern European origins (except British Isles origins),Danish,280,150,125
K1S,European origins,Northern European origins (except British Isles origins),Finnish,185,70,115
K1S,European origins,Northern European origins (except British Isles origins),Icelandic,70,50,25
K1S,European origins,Northern European origins (except British Isles origins),Norwegian,270,130,140
K1S,European origins,Northern European origins (except British Isles origins),Swedish,395,150,245
K1S,European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,90,60,35
K1S,European origins,Eastern European origins,,3840,1835,2000
K1S,European origins,Eastern European origins,Bulgarian,30,25,10
K1S,European origins,Eastern European origins,Byelorussian,75,40,30
K1S,European origins,Eastern European origins,Czech,215,85,125
K1S,European origins,Eastern European origins,Czechoslovakian; n.o.s.,35,10,30
K1S,European origins,Eastern European origins,Estonian,90,45,40
K1S,European origins,Eastern European origins,Hungarian,325,170,155
K1S,European origins,Eastern European origins,Latvian,65,25,40
K1S,European origins,Eastern European origins,Lithuanian,165,70,95
K1S,European origins,Eastern European origins,Moldovan,0,0,0
K1S,European origins,Eastern European origins,Polish,1360,605,760
K1S,European origins,Eastern European origins,Romanian,390,200,190
K1S,European origins,Eastern European origins,Russian,780,340,440
K1S,European origins,Eastern European origins,Slovak,145,55,85
K1S,European origins,Eastern European origins,Ukrainian,1045,520,520
K1S,European origins,Eastern European origins,Eastern European origins; n.i.e.,115,75,40
K1S,European origins,Southern European origins,,2420,1170,1255
K1S,European origins,Southern European origins,Albanian,35,10,25
K1S,European origins,Southern European origins,Bosnian,15,10,10
K1S,European origins,Southern European origins,Catalan,0,0,0
K1S,European origins,Southern European origins,Croatian,60,50,10
K1S,European origins,Southern European origins,Cypriot,10,0,10
K1S,European origins,Southern European origins,Greek,240,120,125
K1S,European origins,Southern European origins,Italian,1320,600,725
K1S,European origins,Southern European origins,Kosovar,0,0,0
