primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,33135,15890,17245
North American Aboriginal origins,,,1390,645,745
North American Aboriginal origins,First Nations (North American Indian),,915,425,490
North American Aboriginal origins,Inuit,,115,50,65
North American Aboriginal origins,Métis,,375,175,200
Other North American origins,,,8100,3840,4260
Other North American origins,Acadian,,105,35,70
Other North American origins,American,,300,140,155
Other North American origins,Canadian,,7815,3715,4105
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,15,10,10
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,10
Other North American origins,Québécois,,35,15,20
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,17450,8195,9255
European origins,British Isles origins,,10800,5125,5675
European origins,British Isles origins,Channel Islander,10,10,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,5185,2455,2730
European origins,British Isles origins,Irish,5505,2475,3030
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,4620,2145,2475
European origins,British Isles origins,Welsh,485,230,255
European origins,British Isles origins,British Isles origins; n.i.e.,940,480,465
European origins,French origins,,5830,2750,3080
European origins,French origins,Alsatian,10,0,10
European origins,French origins,Breton,10,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,5830,2755,3085
European origins,Western European origins (except French origins),,3325,1585,1740
European origins,Western European origins (except French origins),Austrian,135,55,75
European origins,Western European origins (except French origins),Bavarian,10,0,0
European origins,Western European origins (except French origins),Belgian,120,50,75
European origins,Western European origins (except French origins),Dutch,835,420,425
European origins,Western European origins (except French origins),Flemish,10,10,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,2340,1080,1255
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,105,65,40
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,625,260,370
European origins,Northern European origins (except British Isles origins),Danish,140,80,60
European origins,Northern European origins (except British Isles origins),Finnish,135,60,75
European origins,Northern European origins (except British Isles origins),Icelandic,35,10,25
European origins,Northern European origins (except British Isles origins),Norwegian,160,70,90
European origins,Northern European origins (except British Isles origins),Swedish,210,60,150
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,0,10,0
European origins,Eastern European origins,,2665,1175,1490
European origins,Eastern European origins,Bulgarian,40,15,20
European origins,Eastern European origins,Byelorussian,30,10,15
European origins,Eastern European origins,Czech,135,35,100
European origins,Eastern European origins,Czechoslovakian; n.o.s.,30,0,25
European origins,Eastern European origins,Estonian,25,15,0
European origins,Eastern European origins,Hungarian,205,85,120
European origins,Eastern European origins,Latvian,70,30,35
European origins,Eastern European origins,Lithuanian,50,25,30
European origins,Eastern European origins,Moldovan,0,0,0
European origins,Eastern European origins,Polish,1085,475,615
European origins,Eastern European origins,Romanian,200,105,100
European origins,Eastern European origins,Russian,435,205,230
European origins,Eastern European origins,Slovak,95,45,55
European origins,Eastern European origins,Ukrainian,705,345,360
European origins,Eastern European origins,Eastern European origins; n.i.e.,15,10,15
European origins,Southern European origins,,2580,1160,1420
European origins,Southern European origins,Albanian,10,0,10
European origins,Southern European origins,Bosnian,15,10,15
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,175,80,95
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,230,125,105
European origins,Southern European origins,Italian,1265,580,690
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,10,10,0
European origins,Southern European origins,Maltese,0,0,0
European origins,Southern European origins,Montenegrin,0,0,0
European origins,Southern European origins,Portuguese,480,195,280
European origins,Southern European origins,Serbian,25,15,15
European origins,Southern European origins,Sicilian,15,0,10
European origins,Southern European origins,Slovenian,50,15,35
European origins,Southern European origins,Spanish,420,165,255
European origins,Southern European origins,Yugoslavian; n.o.s.,15,0,20
European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
European origins,Other European origins,,215,65,145
European origins,Other European origins,Basque,0,0,0
European origins,Other European origins,Jewish,175,50,130
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,0,0,0
European origins,Other European origins,Other European origins; n.i.e.,30,15,15
Caribbean origins,Other European origins,,970,400,565
Caribbean origins,Antiguan,,0,0,0
Caribbean origins,Bahamian,,0,0,0
Caribbean origins,Barbadian,,35,10,30
Caribbean origins,Bermudan,,0,10,0
Caribbean origins,Carib,,10,0,10
Caribbean origins,Cuban,,20,0,20
Caribbean origins,Dominican,,45,25,25
Caribbean origins,Grenadian,,0,0,0
Caribbean origins,Guadeloupean,,0,0,0
Caribbean origins,Haitian,,415,175,240
Caribbean origins,Jamaican,,350,150,200
Caribbean origins,Kittitian/Nevisian,,0,0,10
Caribbean origins,Martinican,,0,0,0
Caribbean origins,Montserratan,,0,0,0
Caribbean origins,Puerto Rican,,0,0,0
Caribbean origins,St. Lucian,,15,0,20
Caribbean origins,Trinidadian/Tobagonian,,55,20,30
Caribbean origins,Vincentian/Grenadinian,,10,0,0
Caribbean origins,West Indian; n.o.s.,,55,20,35
Caribbean origins,Caribbean origins; n.i.e.,,15,15,0
Latin; Central and South American origins,,,745,320,430
Latin; Central and South American origins,Aboriginal from Central/South America (except Arawak and Maya),,70,35,30
Latin; Central and South American origins,Arawak,,0,0,0
Latin; Central and South American origins,Argentinian,,25,20,10
Latin; Central and South American origins,Belizean,,0,0,0
Latin; Central and South American origins,Bolivian,,10,0,10
Latin; Central and South American origins,Brazilian,,35,0,25
Latin; Central and South American origins,Chilean,,40,25,20
Latin; Central and South American origins,Colombian,,65,20,40
Latin; Central and South American origins,Costa Rican,,15,10,0
Latin; Central and South American origins,Ecuadorian,,0,0,0
Latin; Central and South American origins,Guatemalan,,15,0,10
Latin; Central and South American origins,Guyanese,,75,35,40
Latin; Central and South American origins,Hispanic,,0,0,0
Latin; Central and South American origins,Honduran,,0,0,0
Latin; Central and South American origins,Maya,,25,10,15
Latin; Central and South American origins,Mexican,,90,50,40
Latin; Central and South American origins,Nicaraguan,,15,0,10
Latin; Central and South American origins,Panamanian,,0,10,0
Latin; Central and South American origins,Paraguayan,,0,0,0
Latin; Central and South American origins,Peruvian,,70,40,35
Latin; Central and South American origins,Salvadorean,,95,40,55
Latin; Central and South American origins,Uruguayan,,15,0,0
Latin; Central and South American origins,Venezuelan,,75,25,50
Latin; Central and South American origins,Latin; Central and South American origins; n.i.e.,,120,45,80
African origins,,,3410,1615,1800
African origins,Central and West African origins,,640,255,385
African origins,Central and West African origins,Akan,0,0,0
African origins,Central and West African origins,Angolan,15,0,10
African origins,Central and West African origins,Ashanti,0,0,0
African origins,Central and West African origins,Beninese,10,0,0
African origins,Central and West African origins,Burkinabe,10,10,0
African origins,Central and West African origins,Cameroonian,50,15,35
African origins,Central and West African origins,Chadian,0,0,0
African origins,Central and West African origins,Congolese,290,125,165
African origins,Central and West African origins,Edo,25,10,15
African origins,Central and West African origins,Ewe,0,0,0
African origins,Central and West African origins,Gabonese,20,15,0
African origins,Central and West African origins,Gambian,0,0,0
African origins,Central and West African origins,Ghanaian,20,10,15
African origins,Central and West African origins,Guinean,0,0,0
African origins,Central and West African origins,Ibo,10,0,10
African origins,Central and West African origins,Ivorian,15,0,15
African origins,Central and West African origins,Liberian,0,0,0
African origins,Central and West African origins,Malian,0,0,0
African origins,Central and West African origins,Malinké,0,0,0
African origins,Central and West African origins,Nigerian,150,65,90
African origins,Central and West African origins,Peulh,0,0,0
African origins,Central and West African origins,Senegalese,15,10,10
African origins,Central and West African origins,Sierra Leonean,0,0,0
African origins,Central and West African origins,Togolese,20,10,10
African origins,Central and West African origins,Wolof,0,0,0
African origins,Central and West African origins,Yoruba,20,10,10
African origins,Central and West African origins,Central and West African origins; n.i.e.,35,0,30
African origins,North African origins,,580,300,285
African origins,North African origins,Algerian,55,25,30
African origins,North African origins,Berber,10,0,10
African origins,North African origins,Coptic,15,10,0
African origins,North African origins,Dinka,15,10,0
African origins,North African origins,Egyptian,265,140,115
African origins,North African origins,Libyan,45,30,15
African origins,North African origins,Maure,0,0,0
African origins,North African origins,Moroccan,110,50,65
African origins,North African origins,Sudanese,35,20,15
African origins,North African origins,Tunisian,55,25,30
African origins,North African origins,North African origins; n.i.e.,10,0,10
African origins,Southern and East African origins,,1760,825,935
African origins,Southern and East African origins,Afrikaner,10,0,10
African origins,Southern and East African origins,Amhara,0,0,0
African origins,Southern and East African origins,Bantu; n.o.s.,15,10,10
African origins,Southern and East African origins,Burundian,120,50,65
African origins,Southern and East African origins,Djiboutian,100,45,55
African origins,Southern and East African origins,Eritrean,145,85,55
African origins,Southern and East African origins,Ethiopian,170,90,75
