primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,28670,13640,15030
North American Aboriginal origins,,,1845,815,1025
North American Aboriginal origins,First Nations (North American Indian),,1415,635,785
North American Aboriginal origins,Inuit,,70,40,35
North American Aboriginal origins,Métis,,405,165,235
Other North American origins,,,9670,4630,5040
Other North American origins,Acadian,,150,50,95
Other North American origins,American,,280,135,145
Other North American origins,Canadian,,9365,4485,4875
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,10,10,10
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,10,0,10
Other North American origins,Québécois,,35,20,15
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,15355,7345,8010
European origins,British Isles origins,,8400,4055,4340
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,4225,2095,2135
European origins,British Isles origins,Irish,4110,1945,2160
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,3290,1550,1735
European origins,British Isles origins,Welsh,345,170,180
European origins,British Isles origins,British Isles origins; n.i.e.,585,265,315
European origins,French origins,,7115,3370,3740
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,7115,3370,3740
European origins,Western European origins (except French origins),,2565,1225,1335
European origins,Western European origins (except French origins),Austrian,190,115,70
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,155,80,80
European origins,Western European origins (except French origins),Dutch,435,225,215
European origins,Western European origins (except French origins),Flemish,10,0,10
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,1845,865,980
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,125,35,85
European origins,Western European origins (except French origins),Western European origins; n.i.e.,10,10,0
European origins,Northern European origins (except British Isles origins),,510,270,245
European origins,Northern European origins (except British Isles origins),Danish,120,55,60
European origins,Northern European origins (except British Isles origins),Finnish,55,30,30
European origins,Northern European origins (except British Isles origins),Icelandic,45,10,40
European origins,Northern European origins (except British Isles origins),Norwegian,155,75,70
European origins,Northern European origins (except British Isles origins),Swedish,135,85,45
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,20,15,0
European origins,Eastern European origins,,1760,770,995
European origins,Eastern European origins,Bulgarian,30,15,15
European origins,Eastern European origins,Byelorussian,25,20,0
European origins,Eastern European origins,Czech,120,45,80
European origins,Eastern European origins,Czechoslovakian; n.o.s.,20,10,10
European origins,Eastern European origins,Estonian,10,10,10
European origins,Eastern European origins,Hungarian,190,85,110
European origins,Eastern European origins,Latvian,25,20,10
European origins,Eastern European origins,Lithuanian,60,30,25
European origins,Eastern European origins,Moldovan,0,0,0
European origins,Eastern European origins,Polish,630,280,350
European origins,Eastern European origins,Romanian,165,75,85
European origins,Eastern European origins,Russian,240,115,130
European origins,Eastern European origins,Slovak,10,0,15
European origins,Eastern European origins,Ukrainian,510,245,265
European origins,Eastern European origins,Eastern European origins; n.i.e.,10,0,10
European origins,Southern European origins,,2010,975,1035
European origins,Southern European origins,Albanian,10,10,10
European origins,Southern European origins,Bosnian,10,10,0
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,50,30,25
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,150,70,75
European origins,Southern European origins,Italian,850,425,425
