primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,27910,13600,14305
North American Aboriginal origins,,,1090,515,580
North American Aboriginal origins,First Nations (North American Indian),,735,340,390
North American Aboriginal origins,Inuit,,10,0,0
North American Aboriginal origins,Métis,,395,180,210
Other North American origins,,,7810,3805,4005
Other North American origins,Acadian,,215,95,120
Other North American origins,American,,905,460,445
Other North American origins,Canadian,,7130,3480,3645
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,10,10,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,35,25,10
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,21855,10595,11260
European origins,British Isles origins,,15915,7665,8245
European origins,British Isles origins,Channel Islander,10,0,10
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,8520,4135,4385
European origins,British Isles origins,Irish,7810,3580,4230
European origins,British Isles origins,Manx,10,0,0
European origins,British Isles origins,Scottish,7395,3615,3780
European origins,British Isles origins,Welsh,935,405,530
European origins,British Isles origins,British Isles origins; n.i.e.,1645,780,865
European origins,French origins,,5520,2570,2950
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,10,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,5520,2570,2950
European origins,Western European origins (except French origins),,5015,2435,2585
European origins,Western European origins (except French origins),Austrian,335,130,205
European origins,Western European origins (except French origins),Bavarian,10,0,0
European origins,Western European origins (except French origins),Belgian,135,55,75
European origins,Western European origins (except French origins),Dutch,1330,670,655
European origins,Western European origins (except French origins),Flemish,15,10,10
European origins,Western European origins (except French origins),Frisian,10,0,0
European origins,Western European origins (except French origins),German,3530,1750,1785
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,210,80,125
European origins,Western European origins (except French origins),Western European origins; n.i.e.,10,0,10
European origins,Northern European origins (except British Isles origins),,1230,580,645
European origins,Northern European origins (except British Isles origins),Danish,280,150,125
European origins,Northern European origins (except British Isles origins),Finnish,185,70,115
European origins,Northern European origins (except British Isles origins),Icelandic,70,50,25
European origins,Northern European origins (except British Isles origins),Norwegian,270,130,140
European origins,Northern European origins (except British Isles origins),Swedish,395,150,245
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,90,60,35
European origins,Eastern European origins,,3840,1835,2000
European origins,Eastern European origins,Bulgarian,30,25,10
European origins,Eastern European origins,Byelorussian,75,40,30
European origins,Eastern European origins,Czech,215,85,125
European origins,Eastern European origins,Czechoslovakian; n.o.s.,35,10,30
European origins,Eastern European origins,Estonian,90,45,40
European origins,Eastern European origins,Hungarian,325,170,155
European origins,Eastern European origins,Latvian,65,25,40
European origins,Eastern European origins,Lithuanian,165,70,95
European origins,Eastern European origins,Moldovan,0,0,0
European origins,Eastern European origins,Polish,1360,605,760
European origins,Eastern European origins,Romanian,390,200,190
European origins,Eastern European origins,Russian,780,340,440
European origins,Eastern European origins,Slovak,145,55,85
European origins,Eastern European origins,Ukrainian,1045,520,520
European origins,Eastern European origins,Eastern European origins; n.i.e.,115,75,40
European origins,Southern European origins,,2420,1170,1255
European origins,Southern European origins,Albanian,35,10,25
European origins,Southern European origins,Bosnian,15,10,10
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,60,50,10
European origins,Southern European origins,Cypriot,10,0,10
European origins,Southern European origins,Greek,240,120,125
European origins,Southern European origins,Italian,1320,600,725
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,50,30,20
European origins,Southern European origins,Maltese,25,10,20
European origins,Southern European origins,Montenegrin,10,0,10
European origins,Southern European origins,Portuguese,255,130,125
European origins,Southern European origins,Serbian,85,45,40
European origins,Southern European origins,Sicilian,0,0,0
European origins,Southern European origins,Slovenian,45,30,15
European origins,Southern European origins,Spanish,445,225,220
European origins,Southern European origins,Yugoslavian; n.o.s.,10,0,0
European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
European origins,Other European origins,,480,225,255
European origins,Other European origins,Basque,20,15,10
European origins,Other European origins,Jewish,385,175,210
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,0,0,0
European origins,Other European origins,Other European origins; n.i.e.,80,40,40
Caribbean origins,Other European origins,,390,140,250
Caribbean origins,Antiguan,,30,15,15
Caribbean origins,Bahamian,,0,0,0
Caribbean origins,Barbadian,,35,10,25
Caribbean origins,Bermudan,,0,0,0
Caribbean origins,Carib,,10,0,10
Caribbean origins,Cuban,,15,0,15
Caribbean origins,Dominican,,35,10,20
Caribbean origins,Grenadian,,10,0,10
Caribbean origins,Guadeloupean,,0,0,0
Caribbean origins,Haitian,,15,0,15
Caribbean origins,Jamaican,,125,50,80
Caribbean origins,Kittitian/Nevisian,,0,0,0
Caribbean origins,Martinican,,0,0,0
Caribbean origins,Montserratan,,0,0,0
Caribbean origins,Puerto Rican,,20,0,20
Caribbean origins,St. Lucian,,30,0,25
Caribbean origins,Trinidadian/Tobagonian,,35,15,20
Caribbean origins,Vincentian/Grenadinian,,0,0,0
Caribbean origins,West Indian; n.o.s.,,35,30,0
Caribbean origins,Caribbean origins; n.i.e.,,25,10,15
Latin; Central and South American origins,,,485,250,240
Latin; Central and South American origins,Aboriginal from Central/South America (except Arawak and Maya),,35,15,20
Latin; Central and South American origins,Arawak,,0,0,0
Latin; Central and South American origins,Argentinian,,25,15,10
Latin; Central and South American origins,Belizean,,0,0,0
Latin; Central and South American origins,Bolivian,,0,0,0
Latin; Central and South American origins,Brazilian,,35,10,20
Latin; Central and South American origins,Chilean,,55,30,20
Latin; Central and South American origins,Colombian,,110,55,55
Latin; Central and South American origins,Costa Rican,,0,10,10
Latin; Central and South American origins,Ecuadorian,,15,0,15
Latin; Central and South American origins,Guatemalan,,10,0,10
Latin; Central and South American origins,Guyanese,,55,30,25
Latin; Central and South American origins,Hispanic,,0,0,10
Latin; Central and South American origins,Honduran,,10,10,10
Latin; Central and South American origins,Maya,,0,0,0
Latin; Central and South American origins,Mexican,,60,45,15
Latin; Central and South American origins,Nicaraguan,,30,15,15
Latin; Central and South American origins,Panamanian,,0,0,0
Latin; Central and South American origins,Paraguayan,,0,0,0
Latin; Central and South American origins,Peruvian,,30,10,20
Latin; Central and South American origins,Salvadorean,,15,10,0
Latin; Central and South American origins,Uruguayan,,0,0,0
Latin; Central and South American origins,Venezuelan,,0,0,0
Latin; Central and South American origins,Latin; Central and South American origins; n.i.e.,,20,0,15
African origins,,,860,400,465
African origins,Central and West African origins,,200,90,115
African origins,Central and West African origins,Akan,0,0,0
African origins,Central and West African origins,Angolan,0,0,0
African origins,Central and West African origins,Ashanti,0,0,0
African origins,Central and West African origins,Beninese,0,0,0
African origins,Central and West African origins,Burkinabe,0,0,0
African origins,Central and West African origins,Cameroonian,20,10,10
African origins,Central and West African origins,Chadian,0,0,0
African origins,Central and West African origins,Congolese,45,15,25
African origins,Central and West African origins,Edo,0,0,0
African origins,Central and West African origins,Ewe,0,0,0
African origins,Central and West African origins,Gabonese,0,0,0
African origins,Central and West African origins,Gambian,0,0,0
African origins,Central and West African origins,Ghanaian,10,0,0
African origins,Central and West African origins,Guinean,0,0,0
African origins,Central and West African origins,Ibo,0,0,0
African origins,Central and West African origins,Ivorian,15,0,15
African origins,Central and West African origins,Liberian,0,0,0
African origins,Central and West African origins,Malian,0,0,0
African origins,Central and West African origins,Malinké,0,0,0
