primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,35445,17100,18345
North American Aboriginal origins,,,1300,590,705
North American Aboriginal origins,First Nations (North American Indian),,895,400,495
North American Aboriginal origins,Inuit,,75,35,35
North American Aboriginal origins,Métis,,370,165,200
Other North American origins,,,7485,3660,3820
Other North American origins,Acadian,,45,20,25
Other North American origins,American,,385,205,180
Other North American origins,Canadian,,7175,3505,3670
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,10,10,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,0,10,10
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,16970,8150,8820
European origins,British Isles origins,,9770,4785,4985
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,10
European origins,British Isles origins,English,4855,2360,2495
European origins,British Isles origins,Irish,4955,2320,2635
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,4085,2000,2085
European origins,British Isles origins,Welsh,370,195,175
European origins,British Isles origins,British Isles origins; n.i.e.,770,350,420
European origins,French origins,,4960,2365,2590
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,4960,2365,2590
European origins,Western European origins (except French origins),,2765,1380,1385
European origins,Western European origins (except French origins),Austrian,200,110,85
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,110,65,45
European origins,Western European origins (except French origins),Dutch,645,320,330
European origins,Western European origins (except French origins),Flemish,10,0,10
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,1990,980,1010
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,85,35,55
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,550,295,260
European origins,Northern European origins (except British Isles origins),Danish,110,50,55
European origins,Northern European origins (except British Isles origins),Finnish,135,75,65
European origins,Northern European origins (except British Isles origins),Icelandic,15,15,0
European origins,Northern European origins (except British Isles origins),Norwegian,135,75,60
European origins,Northern European origins (except British Isles origins),Swedish,155,95,65
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,50,15,35
European origins,Eastern European origins,,2590,1145,1450
European origins,Eastern European origins,Bulgarian,55,15,40
European origins,Eastern European origins,Byelorussian,15,10,10
European origins,Eastern European origins,Czech,60,20,40
European origins,Eastern European origins,Czechoslovakian; n.o.s.,10,10,10
European origins,Eastern European origins,Estonian,15,10,10
European origins,Eastern European origins,Hungarian,240,105,130
European origins,Eastern European origins,Latvian,35,15,15
European origins,Eastern European origins,Lithuanian,60,25,35
European origins,Eastern European origins,Moldovan,25,15,15
European origins,Eastern European origins,Polish,995,490,510
European origins,Eastern European origins,Romanian,215,85,135
European origins,Eastern European origins,Russian,395,190,210
European origins,Eastern European origins,Slovak,90,30,65
European origins,Eastern European origins,Ukrainian,745,325,420
European origins,Eastern European origins,Eastern European origins; n.i.e.,20,10,10
European origins,Southern European origins,,3715,1745,1970
European origins,Southern European origins,Albanian,65,30,35
European origins,Southern European origins,Bosnian,100,45,55
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,230,95,135
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,430,220,215
European origins,Southern European origins,Italian,1905,910,995
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,35,10,30
European origins,Southern European origins,Maltese,20,15,0
European origins,Southern European origins,Montenegrin,0,0,10
European origins,Southern European origins,Portuguese,485,190,290
