primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,19440,9655,9785
North American Aboriginal origins,,,780,360,425
North American Aboriginal origins,First Nations (North American Indian),,560,235,325
North American Aboriginal origins,Inuit,,40,15,25
North American Aboriginal origins,Métis,,210,115,100
Other North American origins,,,5480,2700,2780
Other North American origins,Acadian,,130,85,45
Other North American origins,American,,345,190,155
Other North American origins,Canadian,,5070,2445,2620
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,30,20,10
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,10,0,10
Other North American origins,Québécois,,15,10,10
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,15450,7695,7750
European origins,British Isles origins,,11640,5870,5775
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,10
European origins,British Isles origins,English,5985,3020,2965
European origins,British Isles origins,Irish,6265,3035,3230
European origins,British Isles origins,Manx,10,0,10
European origins,British Isles origins,Scottish,5605,2835,2775
European origins,British Isles origins,Welsh,595,315,280
European origins,British Isles origins,British Isles origins; n.i.e.,1090,560,525
European origins,French origins,,4260,2150,2110
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,10,10,0
European origins,French origins,French,4250,2145,2100
European origins,Western European origins (except French origins),,3485,1740,1745
European origins,Western European origins (except French origins),Austrian,200,120,80
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,85,40,45
European origins,Western European origins (except French origins),Dutch,760,365,400
European origins,Western European origins (except French origins),Flemish,0,0,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,2600,1305,1295
European origins,Western European origins (except French origins),Luxembourger,10,10,0
European origins,Western European origins (except French origins),Swiss,160,55,110
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,830,400,435
European origins,Northern European origins (except British Isles origins),Danish,135,65,70
