primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,20445,9495,10950
North American Aboriginal origins,,,1275,625,650
North American Aboriginal origins,First Nations (North American Indian),,935,435,495
North American Aboriginal origins,Inuit,,55,45,15
North American Aboriginal origins,Métis,,325,155,170
Other North American origins,,,5655,2675,2980
Other North American origins,Acadian,,70,40,25
Other North American origins,American,,475,240,230
Other North American origins,Canadian,,5275,2465,2810
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,20,0,15
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,10,0,10
Other North American origins,Québécois,,15,0,10
Other North American origins,Other North American origins; n.i.e.,,10,0,0
European origins,,,14025,6490,7535
European origins,British Isles origins,,9610,4400,5210
European origins,British Isles origins,Channel Islander,0,0,10
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,4620,2105,2525
European origins,British Isles origins,Irish,4765,2090,2670
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,4415,2005,2405
European origins,British Isles origins,Welsh,400,195,200
European origins,British Isles origins,British Isles origins; n.i.e.,1070,455,620
European origins,French origins,,4215,1845,2375
European origins,French origins,Alsatian,10,0,10
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,4210,1845,2370
European origins,Western European origins (except French origins),,2860,1280,1580
European origins,Western European origins (except French origins),Austrian,140,85,50
European origins,Western European origins (except French origins),Bavarian,10,0,0
European origins,Western European origins (except French origins),Belgian,50,25,30
European origins,Western European origins (except French origins),Dutch,650,290,360
European origins,Western European origins (except French origins),Flemish,0,0,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,2110,925,1185
European origins,Western European origins (except French origins),Luxembourger,0,0,10
European origins,Western European origins (except French origins),Swiss,120,60,55
European origins,Western European origins (except French origins),Western European origins; n.i.e.,15,10,15
European origins,Northern European origins (except British Isles origins),,525,285,240
