primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,15785,7480,8300
North American Aboriginal origins,,,630,230,395
North American Aboriginal origins,First Nations (North American Indian),,420,150,265
North American Aboriginal origins,Inuit,,15,0,10
North American Aboriginal origins,Métis,,205,80,125
Other North American origins,,,4230,1900,2325
Other North American origins,Acadian,,85,30,55
Other North American origins,American,,220,100,125
Other North American origins,Canadian,,3995,1805,2190
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,0,0,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,15,10,0
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,12675,6015,6660
European origins,British Isles origins,,8975,4330,4640
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,4720,2240,2480
European origins,British Isles origins,Irish,4540,2245,2295
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,4080,1960,2125
European origins,British Isles origins,Welsh,390,190,205
European origins,British Isles origins,British Isles origins; n.i.e.,830,400,430
European origins,French origins,,2800,1390,1405
European origins,French origins,Alsatian,0,0,10
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,10,0,10
European origins,French origins,French,2800,1395,1405
European origins,Western European origins (except French origins),,2445,1155,1295
European origins,Western European origins (except French origins),Austrian,105,60,45
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,80,40,40
European origins,Western European origins (except French origins),Dutch,550,260,285
European origins,Western European origins (except French origins),Flemish,10,0,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,1790,820,970
European origins,Western European origins (except French origins),Luxembourger,0,10,0
European origins,Western European origins (except French origins),Swiss,125,80,50
European origins,Western European origins (except French origins),Western European origins; n.i.e.,20,10,10
European origins,Northern European origins (except British Isles origins),,650,285,365
European origins,Northern European origins (except British Isles origins),Danish,105,45,65
European origins,Northern European origins (except British Isles origins),Finnish,50,25,25
European origins,Northern European origins (except British Isles origins),Icelandic,30,15,10
European origins,Northern European origins (except British Isles origins),Norwegian,210,95,115
European origins,Northern European origins (except British Isles origins),Swedish,270,105,170
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,50,25,25
European origins,Eastern European origins,,2310,1110,1200
European origins,Eastern European origins,Bulgarian,35,20,20
European origins,Eastern European origins,Byelorussian,25,15,10
European origins,Eastern European origins,Czech,110,45,60
European origins,Eastern European origins,Czechoslovakian; n.o.s.,0,0,10
European origins,Eastern European origins,Estonian,45,20,25
European origins,Eastern European origins,Hungarian,205,95,110
European origins,Eastern European origins,Latvian,25,0,20
European origins,Eastern European origins,Lithuanian,95,40,55
European origins,Eastern European origins,Moldovan,20,10,10
European origins,Eastern European origins,Polish,915,445,470
European origins,Eastern European origins,Romanian,155,90,65
European origins,Eastern European origins,Russian,550,270,275
European origins,Eastern European origins,Slovak,45,30,20
European origins,Eastern European origins,Ukrainian,635,300,335
European origins,Eastern European origins,Eastern European origins; n.i.e.,45,30,20
European origins,Southern European origins,,1375,650,725
European origins,Southern European origins,Albanian,0,0,0
European origins,Southern European origins,Bosnian,0,0,0
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,65,30,35
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,185,85,105
European origins,Southern European origins,Italian,730,350,380
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,40,0,30
European origins,Southern European origins,Maltese,0,0,10
European origins,Southern European origins,Montenegrin,10,0,0
European origins,Southern European origins,Portuguese,75,55,25
European origins,Southern European origins,Serbian,110,40,70
European origins,Southern European origins,Sicilian,10,10,10
European origins,Southern European origins,Slovenian,10,10,0
European origins,Southern European origins,Spanish,185,95,85
European origins,Southern European origins,Yugoslavian; n.o.s.,25,15,20
European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
European origins,Other European origins,,415,230,185
European origins,Other European origins,Basque,10,0,10
European origins,Other European origins,Jewish,335,200,130
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,10,0,10
European origins,Other European origins,Other European origins; n.i.e.,65,25,40
Caribbean origins,Other European origins,,240,120,120
Caribbean origins,Antiguan,,0,0,0
Caribbean origins,Bahamian,,0,0,0
Caribbean origins,Barbadian,,10,0,10
Caribbean origins,Bermudan,,0,0,10
Caribbean origins,Carib,,0,0,0
Caribbean origins,Cuban,,0,10,0
Caribbean origins,Dominican,,0,0,10
Caribbean origins,Grenadian,,0,10,0
Caribbean origins,Guadeloupean,,0,0,0
Caribbean origins,Haitian,,30,20,15
Caribbean origins,Jamaican,,130,70,60
Caribbean origins,Kittitian/Nevisian,,0,0,0
Caribbean origins,Martinican,,0,0,0
Caribbean origins,Montserratan,,0,0,0
Caribbean origins,Puerto Rican,,0,0,0
Caribbean origins,St. Lucian,,0,0,0
Caribbean origins,Trinidadian/Tobagonian,,10,0,10
Caribbean origins,Vincentian/Grenadinian,,0,0,0
Caribbean origins,West Indian; n.o.s.,,25,10,15
Caribbean origins,Caribbean origins; n.i.e.,,25,10,10
Latin; Central and South American origins,,,185,75,110
Latin; Central and South American origins,Aboriginal from Central/South America (except Arawak and Maya),,0,0,0
Latin; Central and South American origins,Arawak,,0,0,0
Latin; Central and South American origins,Argentinian,,0,0,0
Latin; Central and South American origins,Belizean,,0,0,0
Latin; Central and South American origins,Bolivian,,15,0,15
Latin; Central and South American origins,Brazilian,,35,15,20
Latin; Central and South American origins,Chilean,,15,10,0
Latin; Central and South American origins,Colombian,,30,10,15
Latin; Central and South American origins,Costa Rican,,0,0,0
Latin; Central and South American origins,Ecuadorian,,10,0,0
Latin; Central and South American origins,Guatemalan,,10,0,15
Latin; Central and South American origins,Guyanese,,20,20,10
Latin; Central and South American origins,Hispanic,,0,0,0
Latin; Central and South American origins,Honduran,,10,0,0
Latin; Central and South American origins,Maya,,10,0,10
Latin; Central and South American origins,Mexican,,10,0,10
Latin; Central and South American origins,Nicaraguan,,0,0,0
Latin; Central and South American origins,Panamanian,,0,0,0
Latin; Central and South American origins,Paraguayan,,0,0,0
Latin; Central and South American origins,Peruvian,,30,10,20
Latin; Central and South American origins,Salvadorean,,0,0,10
Latin; Central and South American origins,Uruguayan,,0,10,0
Latin; Central and South American origins,Venezuelan,,0,0,0
Latin; Central and South American origins,Latin; Central and South American origins; n.i.e.,,0,0,0
African origins,,,335,190,145
African origins,Central and West African origins,,65,30,35
African origins,Central and West African origins,Akan,0,0,0
African origins,Central and West African origins,Angolan,0,0,0
African origins,Central and West African origins,Ashanti,0,0,0
African origins,Central and West African origins,Beninese,0,0,0
African origins,Central and West African origins,Burkinabe,0,0,0
African origins,Central and West African origins,Cameroonian,10,0,0
African origins,Central and West African origins,Chadian,0,0,0
African origins,Central and West African origins,Congolese,15,0,10
African origins,Central and West African origins,Edo,0,0,0
African origins,Central and West African origins,Ewe,0,0,0
African origins,Central and West African origins,Gabonese,0,0,0
African origins,Central and West African origins,Gambian,0,0,0
African origins,Central and West African origins,Ghanaian,20,10,10
African origins,Central and West African origins,Guinean,0,0,0
African origins,Central and West African origins,Ibo,0,0,0
African origins,Central and West African origins,Ivorian,0,0,0
African origins,Central and West African origins,Liberian,10,0,10
African origins,Central and West African origins,Malian,0,0,0
African origins,Central and West African origins,Malinké,0,0,0
African origins,Central and West African origins,Nigerian,10,10,0
African origins,Central and West African origins,Peulh,0,0,0
African origins,Central and West African origins,Senegalese,0,0,0
African origins,Central and West African origins,Sierra Leonean,0,0,0
African origins,Central and West African origins,Togolese,0,0,0
African origins,Central and West African origins,Wolof,0,0,0
African origins,Central and West African origins,Yoruba,0,0,0
African origins,Central and West African origins,Central and West African origins; n.i.e.,10,0,10
African origins,North African origins,,130,85,40
African origins,North African origins,Algerian,10,10,0
African origins,North African origins,Berber,0,0,0
African origins,North African origins,Coptic,0,0,0
African origins,North African origins,Dinka,0,0,0
African origins,North African origins,Egyptian,60,45,15
African origins,North African origins,Libyan,10,10,0
African origins,North African origins,Maure,0,0,0
African origins,North African origins,Moroccan,40,25,20
African origins,North African origins,Sudanese,20,15,10
African origins,North African origins,Tunisian,0,0,0
African origins,North African origins,North African origins; n.i.e.,0,0,0
African origins,Southern and East African origins,,110,50,65
African origins,Southern and East African origins,Afrikaner,0,0,0
African origins,Southern and East African origins,Amhara,0,0,0
African origins,Southern and East African origins,Bantu; n.o.s.,0,0,0
African origins,Southern and East African origins,Burundian,0,0,0
African origins,Southern and East African origins,Djiboutian,0,0,0
African origins,Southern and East African origins,Eritrean,10,0,10
African origins,Southern and East African origins,Ethiopian,15,10,10
African origins,Southern and East African origins,Harari,0,0,0
African origins,Southern and East African origins,Kenyan,10,10,0
African origins,Southern and East African origins,Malagasy,10,0,10
African origins,Southern and East African origins,Mauritian,0,0,0
African origins,Southern and East African origins,Oromo,0,0,0
African origins,Southern and East African origins,Rwandan,0,0,0
African origins,Southern and East African origins,Seychellois,0,0,0
African origins,Southern and East African origins,Somali,0,0,0
African origins,Southern and East African origins,South African,60,35,25
African origins,Southern and East African origins,Tanzanian,0,0,0
African origins,Southern and East African origins,Tigrian,0,0,0
African origins,Southern and East African origins,Ugandan,0,0,0
African origins,Southern and East African origins,Zambian,0,0,0
African origins,Southern and East African origins,Zimbabwean,0,0,0
African origins,Southern and East African origins,Zulu,0,0,0
African origins,Southern and East African origins,Southern and East African origins; n.i.e.,15,0,15
African origins,Other African origins,,65,30,35
African origins,Other African origins,Black; n.o.s.,0,0,0
African origins,Other African origins,Other African origins; n.i.e.,65,30,35
Asian origins,Other African origins,,1910,950,965
Asian origins,West Central Asian and Middle Eastern origins,,570,310,260
Asian origins,West Central Asian and Middle Eastern origins,Afghan,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Arab; n.o.s.,55,20,35
Asian origins,West Central Asian and Middle Eastern origins,Armenian,10,10,10
Asian origins,West Central Asian and Middle Eastern origins,Assyrian,10,0,0
Asian origins,West Central Asian and Middle Eastern origins,Azerbaijani,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Georgian,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Hazara,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Iranian,95,40,60
Asian origins,West Central Asian and Middle Eastern origins,Iraqi,20,10,10
Asian origins,West Central Asian and Middle Eastern origins,Israeli,40,30,10
Asian origins,West Central Asian and Middle Eastern origins,Jordanian,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Kazakh,10,0,0
Asian origins,West Central Asian and Middle Eastern origins,Kurd,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Kuwaiti,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Kyrgyz,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Lebanese,235,145,85
Asian origins,West Central Asian and Middle Eastern origins,Palestinian,30,15,10
Asian origins,West Central Asian and Middle Eastern origins,Pashtun,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Saudi Arabian,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Syrian,45,30,20
Asian origins,West Central Asian and Middle Eastern origins,Tajik,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Tatar,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Turk,45,15,25
Asian origins,West Central Asian and Middle Eastern origins,Turkmen,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Uighur,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Uzbek,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,Yemeni,0,0,0
Asian origins,West Central Asian and Middle Eastern origins,West Central Asian and Middle Eastern origins; n.i.e.,35,25,10
Asian origins,South Asian origins,,320,175,140
Asian origins,South Asian origins,Bangladeshi,25,15,15
Asian origins,South Asian origins,Bengali,0,0,0
Asian origins,South Asian origins,Bhutanese,0,0,0
Asian origins,South Asian origins,East Indian,225,135,95
Asian origins,South Asian origins,Goan,10,0,15
Asian origins,South Asian origins,Gujarati,0,0,0
Asian origins,South Asian origins,Kashmiri,0,0,0
Asian origins,South Asian origins,Nepali,0,0,0
Asian origins,South Asian origins,Pakistani,25,10,15
Asian origins,South Asian origins,Punjabi,0,0,0
Asian origins,South Asian origins,Sinhalese,0,0,0
Asian origins,South Asian origins,Sri Lankan,25,20,10
Asian origins,South Asian origins,Tamil,0,0,0
Asian origins,South Asian origins,South Asian origins; n.i.e.,10,10,10
Asian origins,East and Southeast Asian origins,,1030,465,570
Asian origins,East and Southeast Asian origins,Burmese,10,0,10
Asian origins,East and Southeast Asian origins,Cambodian (Khmer),40,20,15
Asian origins,East and Southeast Asian origins,Chinese,645,275,370
Asian origins,East and Southeast Asian origins,Filipino,120,50,70
Asian origins,East and Southeast Asian origins,Hmong,0,0,0
Asian origins,East and Southeast Asian origins,Indonesian,0,0,0
Asian origins,East and Southeast Asian origins,Japanese,115,60,55
Asian origins,East and Southeast Asian origins,Karen,0,0,0
Asian origins,East and Southeast Asian origins,Korean,35,10,25
Asian origins,East and Southeast Asian origins,Laotian,0,0,0
Asian origins,East and Southeast Asian origins,Malaysian,0,0,0
Asian origins,East and Southeast Asian origins,Mongolian,10,10,0
Asian origins,East and Southeast Asian origins,Singaporean,0,0,0
Asian origins,East and Southeast Asian origins,Taiwanese,15,0,15
Asian origins,East and Southeast Asian origins,Thai,10,0,0
Asian origins,East and Southeast Asian origins,Tibetan,0,0,0
Asian origins,East and Southeast Asian origins,Vietnamese,100,45,55
Asian origins,East and Southeast Asian origins,East and Southeast Asian origins; n.i.e.,0,0,0
Asian origins,Other Asian origins,,0,0,0
Asian origins,Other Asian origins,Other Asian origins; n.i.e.,0,0,0
Oceania origins,Other Asian origins,,95,35,60
Oceania origins,Australian,,75,30,45
Oceania origins,New Zealander,,0,0,0
Oceania origins,Pacific Islands origins,,15,0,10
Oceania origins,Pacific Islands origins,Fijian,0,0,0
Oceania origins,Pacific Islands origins,Hawaiian,0,0,10
Oceania origins,Pacific Islands origins,Maori,0,0,0
Oceania origins,Pacific Islands origins,Polynesian; n.o.s.,10,0,0
Oceania origins,Pacific Islands origins,Samoan,0,0,0
Oceania origins,Pacific Islands origins,Pacific Islands origins; n.i.e.,0,0,0
