primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,25520,12165,13360
North American Aboriginal origins,,,1410,650,755
North American Aboriginal origins,First Nations (North American Indian),,955,405,550
North American Aboriginal origins,Inuit,,25,15,15
North American Aboriginal origins,Métis,,455,250,205
Other North American origins,,,7355,3400,3955
Other North American origins,Acadian,,65,20,40
Other North American origins,American,,320,130,195
Other North American origins,Canadian,,7130,3315,3815
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,15,10,0
Other North American origins,Nova Scotian,,10,0,0
Other North American origins,Ontarian,,10,10,0
Other North American origins,Québécois,,15,10,0
Other North American origins,Other North American origins; n.i.e.,,0,10,0
European origins,,,18610,8925,9685
European origins,British Isles origins,,13245,6400,6845
European origins,British Isles origins,Channel Islander,10,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,6690,3305,3385
European origins,British Isles origins,Irish,6710,3115,3595
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,6060,3000,3060
European origins,British Isles origins,Welsh,585,275,310
European origins,British Isles origins,British Isles origins; n.i.e.,1210,580,630
European origins,French origins,,5055,2300,2755
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,5050,2300,2750
European origins,Western European origins (except French origins),,3440,1550,1890
European origins,Western European origins (except French origins),Austrian,230,85,150
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,95,45,50
European origins,Western European origins (except French origins),Dutch,900,390,505
European origins,Western European origins (except French origins),Flemish,15,0,10
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,2405,1105,1300
European origins,Western European origins (except French origins),Luxembourger,0,10,0
European origins,Western European origins (except French origins),Swiss,110,45,70
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,860,480,385
European origins,Northern European origins (except British Isles origins),Danish,260,145,115
European origins,Northern European origins (except British Isles origins),Finnish,170,105,70
European origins,Northern European origins (except British Isles origins),Icelandic,25,10,20
European origins,Northern European origins (except British Isles origins),Norwegian,180,115,65
European origins,Northern European origins (except British Isles origins),Swedish,295,145,150
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,45,25,25
European origins,Eastern European origins,,2750,1295,1460
European origins,Eastern European origins,Bulgarian,60,15,45
