primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,68655,33710,34945
North American Aboriginal origins,,,2680,1305,1375
North American Aboriginal origins,First Nations (North American Indian),,1795,850,945
North American Aboriginal origins,Inuit,,75,45,30
North American Aboriginal origins,Métis,,850,420,430
Other North American origins,,,18295,8985,9310
Other North American origins,Acadian,,300,130,175
Other North American origins,American,,695,405,285
Other North American origins,Canadian,,17680,8650,9030
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,50,30,20
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,40,20,20
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,38825,19205,19625
European origins,British Isles origins,,26340,13030,13310
European origins,British Isles origins,Channel Islander,10,0,10
European origins,British Isles origins,Cornish,10,10,0
European origins,British Isles origins,English,12860,6595,6265
European origins,British Isles origins,Irish,13965,6780,7185
European origins,British Isles origins,Manx,25,10,15
European origins,British Isles origins,Scottish,11705,5710,5995
European origins,British Isles origins,Welsh,1135,530,610
European origins,British Isles origins,British Isles origins; n.i.e.,2480,1195,1280
European origins,French origins,,10590,5110,5480
European origins,French origins,Alsatian,10,10,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,10585,5110,5475
European origins,Western European origins (except French origins),,7625,3740,3885
European origins,Western European origins (except French origins),Austrian,380,170,215
European origins,Western European origins (except French origins),Bavarian,0,0,10
European origins,Western European origins (except French origins),Belgian,310,140,170
European origins,Western European origins (except French origins),Dutch,1950,935,1015
European origins,Western European origins (except French origins),Flemish,20,10,10
European origins,Western European origins (except French origins),Frisian,15,0,10
European origins,Western European origins (except French origins),German,5260,2635,2625
European origins,Western European origins (except French origins),Luxembourger,10,0,0
European origins,Western European origins (except French origins),Swiss,290,145,145
European origins,Western European origins (except French origins),Western European origins; n.i.e.,10,0,10
European origins,Northern European origins (except British Isles origins),,1395,640,755
European origins,Northern European origins (except British Isles origins),Danish,270,115,150
European origins,Northern European origins (except British Isles origins),Finnish,185,70,115
European origins,Northern European origins (except British Isles origins),Icelandic,115,40,80
European origins,Northern European origins (except British Isles origins),Norwegian,380,220,165
European origins,Northern European origins (except British Isles origins),Swedish,435,175,255
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,130,75,55
European origins,Eastern European origins,,5920,2925,2990
European origins,Eastern European origins,Bulgarian,110,55,55
European origins,Eastern European origins,Byelorussian,35,15,20
European origins,Eastern European origins,Czech,300,155,150
European origins,Eastern European origins,Czechoslovakian; n.o.s.,70,30,40
European origins,Eastern European origins,Estonian,10,10,10
European origins,Eastern European origins,Hungarian,605,290,310
European origins,Eastern European origins,Latvian,70,25,45
European origins,Eastern European origins,Lithuanian,205,95,115
European origins,Eastern European origins,Moldovan,45,25,25
European origins,Eastern European origins,Polish,2220,1080,1140
European origins,Eastern European origins,Romanian,335,160,175
European origins,Eastern European origins,Russian,1030,480,555
European origins,Eastern European origins,Slovak,210,105,100
European origins,Eastern European origins,Ukrainian,1695,850,850
European origins,Eastern European origins,Eastern European origins; n.i.e.,70,35,35
European origins,Southern European origins,,6540,3200,3340
European origins,Southern European origins,Albanian,75,30,45
European origins,Southern European origins,Bosnian,95,35,55
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,280,130,155
European origins,Southern European origins,Cypriot,15,10,0
European origins,Southern European origins,Greek,790,410,385
European origins,Southern European origins,Italian,3895,1935,1955
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,50,10,35
European origins,Southern European origins,Maltese,45,25,25
European origins,Southern European origins,Montenegrin,0,0,0
European origins,Southern European origins,Portuguese,710,340,370
European origins,Southern European origins,Serbian,195,95,100
European origins,Southern European origins,Sicilian,0,0,10
European origins,Southern European origins,Slovenian,45,10,40
European origins,Southern European origins,Spanish,690,300,390
European origins,Southern European origins,Yugoslavian; n.o.s.,75,30,35
European origins,Southern European origins,Southern European origins; n.i.e.,10,0,0
European origins,Other European origins,,380,205,170
European origins,Other European origins,Basque,10,0,0
European origins,Other European origins,Jewish,320,170,150
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,0,0,0
European origins,Other European origins,Other European origins; n.i.e.,50,30,20
Caribbean origins,Other European origins,,2075,965,1110
Caribbean origins,Antiguan,,65,40,30
Caribbean origins,Bahamian,,45,20,25
Caribbean origins,Barbadian,,140,70,70
Caribbean origins,Bermudan,,20,20,0
Caribbean origins,Carib,,10,0,10
Caribbean origins,Cuban,,90,45,45
Caribbean origins,Dominican,,55,25,30
Caribbean origins,Grenadian,,65,30,35
Caribbean origins,Guadeloupean,,0,0,0
Caribbean origins,Haitian,,510,225,280
Caribbean origins,Jamaican,,715,330,385
Caribbean origins,Kittitian/Nevisian,,10,0,10
Caribbean origins,Martinican,,0,0,0
Caribbean origins,Montserratan,,15,0,10
Caribbean origins,Puerto Rican,,10,0,10
Caribbean origins,St. Lucian,,55,15,40
Caribbean origins,Trinidadian/Tobagonian,,195,115,80
Caribbean origins,Vincentian/Grenadinian,,35,15,20
Caribbean origins,West Indian; n.o.s.,,180,75,105
Caribbean origins,Caribbean origins; n.i.e.,,65,30,30
Latin; Central and South American origins,,,1335,655,675
Latin; Central and South American origins,Aboriginal from Central/South America (except Arawak and Maya),,35,20,15
Latin; Central and South American origins,Arawak,,15,10,10
Latin; Central and South American origins,Argentinian,,50,15,35
Latin; Central and South American origins,Belizean,,0,0,0
Latin; Central and South American origins,Bolivian,,20,0,10
Latin; Central and South American origins,Brazilian,,75,50,25
Latin; Central and South American origins,Chilean,,115,55,55
Latin; Central and South American origins,Colombian,,205,105,100
Latin; Central and South American origins,Costa Rican,,45,15,30
Latin; Central and South American origins,Ecuadorian,,10,10,0
Latin; Central and South American origins,Guatemalan,,35,10,30
Latin; Central and South American origins,Guyanese,,220,110,115
