primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,1160,610,545
North American Aboriginal origins,,,45,20,25
North American Aboriginal origins,First Nations (North American Indian),,15,15,10
North American Aboriginal origins,Inuit,,0,0,0
North American Aboriginal origins,Métis,,25,10,20
Other North American origins,,,160,95,65
Other North American origins,Acadian,,0,0,0
Other North American origins,American,,15,10,0
Other North American origins,Canadian,,155,95,60
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,0,0,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,0,0,0
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,810,405,400
European origins,British Isles origins,,445,245,205
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,265,140,130
European origins,British Isles origins,Irish,235,105,125
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,235,125,105
European origins,British Isles origins,Welsh,10,0,10
European origins,British Isles origins,British Isles origins; n.i.e.,0,10,0
European origins,French origins,,160,70,95
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,160,70,90
European origins,Western European origins (except French origins),,125,70,50
European origins,Western European origins (except French origins),Austrian,20,15,10
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,0,0,0
European origins,Western European origins (except French origins),Dutch,15,10,0
European origins,Western European origins (except French origins),Flemish,0,0,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,100,55,40
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,0,0,0
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,10,0,10
European origins,Northern European origins (except British Isles origins),Danish,10,0,0
European origins,Northern European origins (except British Isles origins),Finnish,0,0,0
European origins,Northern European origins (except British Isles origins),Icelandic,0,0,0
European origins,Northern European origins (except British Isles origins),Norwegian,0,10,0
European origins,Northern European origins (except British Isles origins),Swedish,0,0,10
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,0,0,0
European origins,Eastern European origins,,190,90,100
European origins,Eastern European origins,Bulgarian,0,0,0
European origins,Eastern European origins,Byelorussian,0,0,0
European origins,Eastern European origins,Czech,0,0,0
European origins,Eastern European origins,Czechoslovakian; n.o.s.,0,0,0
European origins,Eastern European origins,Estonian,10,10,0
European origins,Eastern European origins,Hungarian,45,30,15
European origins,Eastern European origins,Latvian,0,0,0
European origins,Eastern European origins,Lithuanian,0,0,0
European origins,Eastern European origins,Moldovan,0,0,0
European origins,Eastern European origins,Polish,80,40,40
European origins,Eastern European origins,Romanian,10,0,10
European origins,Eastern European origins,Russian,25,10,15
European origins,Eastern European origins,Slovak,0,0,0
European origins,Eastern European origins,Ukrainian,30,10,20
European origins,Eastern European origins,Eastern European origins; n.i.e.,0,0,0
European origins,Southern European origins,,130,60,75
