primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,2430,1225,1210
North American Aboriginal origins,,,90,40,50
North American Aboriginal origins,First Nations (North American Indian),,45,15,35
North American Aboriginal origins,Inuit,,0,0,0
North American Aboriginal origins,Métis,,45,25,20
Other North American origins,,,710,370,345
Other North American origins,Acadian,,0,0,0
Other North American origins,American,,15,0,15
Other North American origins,Canadian,,710,365,345
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,0,0,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,0,0,0
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,1265,640,625
European origins,British Isles origins,,825,425,405
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,455,245,215
European origins,British Isles origins,Irish,400,205,195
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,355,165,185
European origins,British Isles origins,Welsh,30,15,15
European origins,British Isles origins,British Isles origins; n.i.e.,30,10,20
European origins,French origins,,400,175,230
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,400,175,225
European origins,Western European origins (except French origins),,160,75,90
European origins,Western European origins (except French origins),Austrian,0,0,0
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,0,0,0
European origins,Western European origins (except French origins),Dutch,40,25,15
European origins,Western European origins (except French origins),Flemish,0,0,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,130,50,80
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,0,0,0
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,30,20,10
European origins,Northern European origins (except British Isles origins),Danish,10,0,0
European origins,Northern European origins (except British Isles origins),Finnish,20,15,10
European origins,Northern European origins (except British Isles origins),Icelandic,0,0,0
European origins,Northern European origins (except British Isles origins),Norwegian,0,0,0
European origins,Northern European origins (except British Isles origins),Swedish,10,0,0
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,0,0,0
European origins,Eastern European origins,,185,90,95
European origins,Eastern European origins,Bulgarian,0,0,0
European origins,Eastern European origins,Byelorussian,15,0,15
European origins,Eastern European origins,Czech,0,10,0
European origins,Eastern European origins,Czechoslovakian; n.o.s.,10,0,0
European origins,Eastern European origins,Estonian,0,0,0
European origins,Eastern European origins,Hungarian,25,10,10
European origins,Eastern European origins,Latvian,0,0,0
European origins,Eastern European origins,Lithuanian,0,0,0
European origins,Eastern European origins,Moldovan,0,0,0
European origins,Eastern European origins,Polish,80,40,35
European origins,Eastern European origins,Romanian,0,0,0
European origins,Eastern European origins,Russian,95,40,60
European origins,Eastern European origins,Slovak,0,0,0
European origins,Eastern European origins,Ukrainian,30,10,15
European origins,Eastern European origins,Eastern European origins; n.i.e.,0,0,0
European origins,Southern European origins,,260,135,120
European origins,Southern European origins,Albanian,0,0,0
European origins,Southern European origins,Bosnian,10,0,0
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,0,0,0
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,45,25,20
European origins,Southern European origins,Italian,140,75,65
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,0,0,0
European origins,Southern European origins,Maltese,0,0,0
European origins,Southern European origins,Montenegrin,0,0,0
European origins,Southern European origins,Portuguese,45,25,25
European origins,Southern European origins,Serbian,0,0,0
European origins,Southern European origins,Sicilian,0,0,0
European origins,Southern European origins,Slovenian,0,0,0
European origins,Southern European origins,Spanish,30,15,15
European origins,Southern European origins,Yugoslavian; n.o.s.,0,0,0
European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
European origins,Other European origins,,0,0,0
European origins,Other European origins,Basque,0,0,0
European origins,Other European origins,Jewish,0,0,0
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,0,0,0
European origins,Other European origins,Other European origins; n.i.e.,0,0,0
Caribbean origins,Other European origins,,100,40,60
Caribbean origins,Antiguan,,0,0,0
Caribbean origins,Bahamian,,0,0,0
Caribbean origins,Barbadian,,0,0,0
Caribbean origins,Bermudan,,0,0,0
Caribbean origins,Carib,,0,0,0
Caribbean origins,Cuban,,0,0,0
Caribbean origins,Dominican,,0,0,0
Caribbean origins,Grenadian,,0,0,0
Caribbean origins,Guadeloupean,,0,0,0
Caribbean origins,Haitian,,70,30,40
Caribbean origins,Jamaican,,25,10,15
Caribbean origins,Kittitian/Nevisian,,0,0,0
Caribbean origins,Martinican,,0,0,0
