primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,8775,4330,4450
North American Aboriginal origins,,,295,145,155
North American Aboriginal origins,First Nations (North American Indian),,230,110,120
North American Aboriginal origins,Inuit,,10,0,0
North American Aboriginal origins,Métis,,65,30,30
Other North American origins,,,2285,1140,1140
Other North American origins,Acadian,,90,50,40
Other North American origins,American,,85,30,60
Other North American origins,Canadian,,2180,1095,1085
Other North American origins,New Brunswicker,,15,10,10
Other North American origins,Newfoundlander,,0,0,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,0,0,0
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,4935,2465,2470
European origins,British Isles origins,,3255,1660,1590
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,1565,835,730
European origins,British Isles origins,Irish,1845,910,940
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,1350,745,605
European origins,British Isles origins,Welsh,145,90,60
European origins,British Isles origins,British Isles origins; n.i.e.,300,155,145
European origins,French origins,,1430,625,800
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,1425,625,805
European origins,Western European origins (except French origins),,1175,565,615
European origins,Western European origins (except French origins),Austrian,35,20,20
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,20,10,10
European origins,Western European origins (except French origins),Dutch,390,200,190
European origins,Western European origins (except French origins),Flemish,15,0,15
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,785,355,425
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,25,15,10
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,240,145,90
European origins,Northern European origins (except British Isles origins),Danish,65,40,25
European origins,Northern European origins (except British Isles origins),Finnish,30,20,15
European origins,Northern European origins (except British Isles origins),Icelandic,10,10,0
European origins,Northern European origins (except British Isles origins),Norwegian,60,35,25
European origins,Northern European origins (except British Isles origins),Swedish,65,45,20
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,0,0,10
European origins,Eastern European origins,,930,450,475
European origins,Eastern European origins,Bulgarian,35,20,20
European origins,Eastern European origins,Byelorussian,15,15,10
European origins,Eastern European origins,Czech,20,15,0
European origins,Eastern European origins,Czechoslovakian; n.o.s.,10,0,0
European origins,Eastern European origins,Estonian,10,10,0
European origins,Eastern European origins,Hungarian,145,85,65
European origins,Eastern European origins,Latvian,0,0,10
European origins,Eastern European origins,Lithuanian,15,0,10
European origins,Eastern European origins,Moldovan,0,0,0
European origins,Eastern European origins,Polish,210,105,105
European origins,Eastern European origins,Romanian,115,60,55
European origins,Eastern European origins,Russian,175,80,95
European origins,Eastern European origins,Slovak,55,35,25
European origins,Eastern European origins,Ukrainian,280,135,140
European origins,Eastern European origins,Eastern European origins; n.i.e.,0,0,0
European origins,Southern European origins,,565,275,295
European origins,Southern European origins,Albanian,0,0,0
European origins,Southern European origins,Bosnian,0,0,0
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,20,15,0
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,40,10,30
European origins,Southern European origins,Italian,390,200,190
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,0,0,0
European origins,Southern European origins,Maltese,0,0,0
European origins,Southern European origins,Montenegrin,0,0,0
European origins,Southern European origins,Portuguese,35,15,20
European origins,Southern European origins,Serbian,40,20,20
European origins,Southern European origins,Sicilian,0,0,0
European origins,Southern European origins,Slovenian,0,0,0
European origins,Southern European origins,Spanish,75,20,50
European origins,Southern European origins,Yugoslavian; n.o.s.,0,0,0
European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
European origins,Other European origins,,90,55,35
European origins,Other European origins,Basque,0,0,0
European origins,Other European origins,Jewish,85,50,35
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,0,0,0
European origins,Other European origins,Other European origins; n.i.e.,0,0,0
Caribbean origins,Other European origins,,120,70,50
Caribbean origins,Antiguan,,0,0,0
Caribbean origins,Bahamian,,0,0,0
Caribbean origins,Barbadian,,20,10,10
Caribbean origins,Bermudan,,0,0,0
Caribbean origins,Carib,,0,0,0
