primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,4445,2300,2145
North American Aboriginal origins,,,280,115,170
North American Aboriginal origins,First Nations (North American Indian),,215,75,145
North American Aboriginal origins,Inuit,,0,0,0
North American Aboriginal origins,Métis,,70,40,30
Other North American origins,,,2175,1120,1055
Other North American origins,Acadian,,20,0,20
Other North American origins,American,,35,25,10
Other North American origins,Canadian,,2150,1105,1045
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,10,10,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,0,0,0
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,3090,1595,1490
European origins,British Isles origins,,1785,940,840
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,865,460,405
European origins,British Isles origins,Irish,905,490,415
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,710,380,330
European origins,British Isles origins,Welsh,55,40,15
European origins,British Isles origins,British Isles origins; n.i.e.,150,80,70
European origins,French origins,,1615,815,800
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,1615,810,800
European origins,Western European origins (except French origins),,430,235,190
European origins,Western European origins (except French origins),Austrian,35,20,20
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,15,0,15
European origins,Western European origins (except French origins),Dutch,130,80,55
European origins,Western European origins (except French origins),Flemish,0,0,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,250,145,105
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,15,10,10
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,110,65,45
European origins,Northern European origins (except British Isles origins),Danish,25,0,15
European origins,Northern European origins (except British Isles origins),Finnish,25,15,15
European origins,Northern European origins (except British Isles origins),Icelandic,0,0,0
European origins,Northern European origins (except British Isles origins),Norwegian,25,15,15
European origins,Northern European origins (except British Isles origins),Swedish,0,0,0
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,35,25,0
European origins,Eastern European origins,,250,110,140
European origins,Eastern European origins,Bulgarian,0,0,0
European origins,Eastern European origins,Byelorussian,0,0,0
European origins,Eastern European origins,Czech,25,10,20
European origins,Eastern European origins,Czechoslovakian; n.o.s.,0,0,0
European origins,Eastern European origins,Estonian,0,0,0
European origins,Eastern European origins,Hungarian,10,0,10
European origins,Eastern European origins,Latvian,10,10,0
European origins,Eastern European origins,Lithuanian,15,10,0
European origins,Eastern European origins,Moldovan,0,0,0
European origins,Eastern European origins,Polish,65,30,35
European origins,Eastern European origins,Romanian,25,0,15
European origins,Eastern European origins,Russian,45,25,20
European origins,Eastern European origins,Slovak,0,0,0
European origins,Eastern European origins,Ukrainian,75,30,45
European origins,Eastern European origins,Eastern European origins; n.i.e.,0,0,0
European origins,Southern European origins,,315,180,130
European origins,Southern European origins,Albanian,0,0,0
European origins,Southern European origins,Bosnian,0,0,0
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,10,0,0
European origins,Southern European origins,Cypriot,0,10,0
European origins,Southern European origins,Greek,25,10,15
European origins,Southern European origins,Italian,135,70,70
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,0,0,0
European origins,Southern European origins,Maltese,0,0,0
European origins,Southern European origins,Montenegrin,0,0,0
European origins,Southern European origins,Portuguese,75,45,30
European origins,Southern European origins,Serbian,25,10,15
European origins,Southern European origins,Sicilian,0,0,0
European origins,Southern European origins,Slovenian,10,10,0
European origins,Southern European origins,Spanish,45,25,20
European origins,Southern European origins,Yugoslavian; n.o.s.,0,0,0
European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
European origins,Other European origins,,20,15,0
European origins,Other European origins,Basque,0,0,0
European origins,Other European origins,Jewish,15,15,10
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,0,0,0
European origins,Other European origins,Other European origins; n.i.e.,0,0,0
Caribbean origins,Other European origins,,15,10,10
Caribbean origins,Antiguan,,0,0,0
Caribbean origins,Bahamian,,0,0,0
Caribbean origins,Barbadian,,0,0,0
Caribbean origins,Bermudan,,0,0,0
Caribbean origins,Carib,,0,0,0
Caribbean origins,Cuban,,0,0,0
Caribbean origins,Dominican,,0,0,0
Caribbean origins,Grenadian,,0,0,0
Caribbean origins,Guadeloupean,,0,0,0
Caribbean origins,Haitian,,10,0,0
Caribbean origins,Jamaican,,0,0,0
Caribbean origins,Kittitian/Nevisian,,0,0,0
Caribbean origins,Martinican,,0,0,0
Caribbean origins,Montserratan,,0,0,0
Caribbean origins,Puerto Rican,,0,0,0
Caribbean origins,St. Lucian,,0,0,0
Caribbean origins,Trinidadian/Tobagonian,,0,0,0
Caribbean origins,Vincentian/Grenadinian,,0,0,0
Caribbean origins,West Indian; n.o.s.,,0,0,0
Caribbean origins,Caribbean origins; n.i.e.,,0,0,0
Latin; Central and South American origins,,,70,40,35
Latin; Central and South American origins,Aboriginal from Central/South America (except Arawak and Maya),,0,0,0
Latin; Central and South American origins,Arawak,,0,0,0
Latin; Central and South American origins,Argentinian,,15,10,0
Latin; Central and South American origins,Belizean,,0,0,0
Latin; Central and South American origins,Bolivian,,0,0,0
Latin; Central and South American origins,Brazilian,,0,0,0
Latin; Central and South American origins,Chilean,,0,0,0
Latin; Central and South American origins,Colombian,,0,0,0
Latin; Central and South American origins,Costa Rican,,0,0,0
Latin; Central and South American origins,Ecuadorian,,20,10,15
Latin; Central and South American origins,Guatemalan,,0,0,0
Latin; Central and South American origins,Guyanese,,10,10,10
Latin; Central and South American origins,Hispanic,,0,0,0
Latin; Central and South American origins,Honduran,,0,0,0
Latin; Central and South American origins,Maya,,0,0,0
