primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,9695,4895,4795
North American Aboriginal origins,,,585,295,290
North American Aboriginal origins,First Nations (North American Indian),,350,180,170
North American Aboriginal origins,Inuit,,35,15,20
North American Aboriginal origins,Métis,,215,105,105
Other North American origins,,,3705,1905,1805
Other North American origins,Acadian,,20,15,0
Other North American origins,American,,90,45,40
Other North American origins,Canadian,,3650,1870,1780
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,10,10,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,0,0,0
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,7285,3670,3615
European origins,British Isles origins,,4900,2480,2420
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,2295,1215,1080
European origins,British Isles origins,Irish,2580,1305,1275
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,2080,1040,1040
European origins,British Isles origins,Welsh,170,75,90
European origins,British Isles origins,British Isles origins; n.i.e.,445,185,260
European origins,French origins,,2370,1185,1190
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,2370,1180,1190
European origins,Western European origins (except French origins),,1475,755,715
European origins,Western European origins (except French origins),Austrian,80,50,30
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,40,15,20
European origins,Western European origins (except French origins),Dutch,465,230,235
European origins,Western European origins (except French origins),Flemish,0,0,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,1010,530,480
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,35,0,30
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,200,85,115
European origins,Northern European origins (except British Isles origins),Danish,80,25,60
European origins,Northern European origins (except British Isles origins),Finnish,40,25,15
European origins,Northern European origins (except British Isles origins),Icelandic,10,0,10
European origins,Northern European origins (except British Isles origins),Norwegian,30,20,10
European origins,Northern European origins (except British Isles origins),Swedish,40,20,25
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,0,0,0
