neighbourhood,cumulative_rate,cumulative_cases,estimated_total_population
Bayshore - Belltown,4084,469,11494
Beacon Hill South - Cardinal Heights,2416,211,8735
Beaverbrook,1050,78,7471
Beechwood Cemetery,Suppressed,<5,0
Bells Corners East,1301,68,5218
Bells Corners West,1671,80,4761
Billings Bridge - Alta Vista,2092,301,14369
Blackburn Hamlet,1592,144,9042
Borden Farm - Fisher Glen,1829,149,8143
Braemar Park - Bel Air Heights - Copeland Park,1548,112,7241
Briar Green - Leslie Park,1721,99,5755
Bridlewood - Emerald Meadows,1375,388,28225
Britannia Village,1581,114,7210
Brookside - Briarbrook - Morgan's Grant,1521,266,17480
Byward Market,3550,261,7365
Cardinal Creek,2165,288,13303
Carleton Heights - Rideauview,2635,191,7252
Carleton University,Suppressed,34,0
Carlington,2750,316,11486
Carlingwood West - Glabar Park - McKellar Heights,1496,153,10225
Carp,672,52,7787
Carson Grove - Carson Meadows,2614,344,13158
Centrepointe,1218,96,7877
Centretown,1988,635,31936
Chapel Hill North,1999,238,11893
Chapel Hill South,2927,417,14233
Chapman Mills,1948,264,13545
Chatelaine Village,1736,89,5127
Cityview - Crestview - Meadowlands,3010,284,9428
Civic Hospital-Central Park,2017,267,13240
Constance Bay,802,21,2644
Convent Glen - Orléans Woods,1296,212,16325
Corkery,712,34,4722
Crystal Bay - Lakeview Park,1072,47,4386
Cumberland,2237,98,4370
Dunrobin,975,61,6247
East Industrial,2429,55,2246
Edwards - Carlsbad Springs,1750,62,3518
Elmvale - Canterbury,2219,308,13868
Emerald Woods - Sawmill Creek,5879,375,6377
Fallingbrook,1654,329,19884
Findlay Creek,3613,454,12568
Fitzroy,884,28,3125
Glebe - Dows Lake,1341,193,14392
Glen Cairn - Kanata South Business Park,1532,195,12730
Greely,1723,191,11078
Greenbelt,Suppressed,59,1990
Greenboro East,3253,396,12159
Hawthorne Meadows - Sheffield Glen,3375,264,7822
Hintonburg - Mechanicsville,1577,184,11664
Hunt Club - Ottawa Airport,2243,56,2510
Hunt Club East - Western Community,2712,343,12642
Hunt Club Park,3507,351,10009
Hunt Club South Industrial,Suppressed,27,1041
Hunt Club Upper -Blossom Park - Timbermill,2562,250,9760
Hunt Club Woods - Quintarra - Revelstoke,1662,108,6486
Iris - Queensway Terrance South,2089,136,6509
Island Park - Wellington Village,1214,77,6343
Kanata Lakes - Arcardia,787,167,21164
Katimavik - Hazeldean,1332,165,12384
Kinburn,Suppressed,9,1426
Laurentian,848,96,11317
Lebreton Development,Suppressed,14,767
Ledbury - Heron Gate - Ridgemont,5981,968,16183
Lindenlea - New Edinburgh,1199,74,6172
Lowertown,3205,241,7533
Manor Park,1977,163,8247
Manotick,1260,164,13031
Marlborough,1215,24,2003
Merivale Gardens - Grenfell Glen - Pineglen - Country Place,1185,39,3306
Metcalfe,1599,88,5510
Munster - Ashton,1336,62,4608
Navan - Sarsfield,1929,132,6840
North Gower - Kars,1207,59,4911
Notre-Dame Cemetery,Suppressed,<5,0
Old Barrhaven East,2070,611,29506
Old Barrhaven West,1499,307,20474
Old Ottawa East,1876,164,8762
Old Ottawa South,1190,85,7114
Orléans Industrial,Suppressed,<5,0
Orléans Village - Chateauneuf,1809,208,11505
Osgoode - Vernon,993,56,5650
Overbrook - McArthur,3404,808,23737
Parkwood Hills - Stewart Farm,2785,183,6576
Pineview,1966,141,7171
Playfair Park - Lynda Park - Guildwood Estates,2253,153,6801
Portobello South,2864,816,28496
Qualicum - Redwood Park,1832,90,4912
Queenswood Heights,1331,180,13525
Richmond,1659,163,9845
Rideau Crest - Davidson Heights,1835,292,15932
Riverside Park,2069,104,5033
Riverside South - Leitrim,1680,327,19433
Riverview,3091,210,6786
Rockcliffe Park,1796,41,2282
Rothwell Heights - Beacon Hill North,1423,171,12003
Sandy Hill,3556,497,13981
Skyline - Fisher Heights,2336,110,4702
South Keys - Greenboro West,2205,102,4642
Stittsville,1368,602,44001
Stonebridge - Half Moon Bay - Heart's Desire,1657,368,22194
Tanglewood,2153,119,5537
Trend-Arlington,1267,65,5162
Vanier North,2079,257,12357
Vanier South,3147,251,7968
Vars,1662,43,2588
Wateridge Village,Suppressed,24,1041
West Centretown,2004,230,11481
Westboro,1346,189,14044
Whitehaven - Queensway Terrace North,2542,339,13319
Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,2658,259,9745
