neighbourhood,date,monthly_rate,number_active_cases
Bayshore - Belltown,April 2021,1137,131
Bayshore - Belltown,March 2021,540,62
Bayshore - Belltown,February 2021,444,51
Bayshore - Belltown,January 2021,448,51
Bayshore - Belltown,December 2020,241,28
Bayshore - Belltown,November 2020,270,31
Bayshore - Belltown,October 2020,363,42
Bayshore - Belltown,September 2020,200,23
Bayshore - Belltown,August 2020,127,15
Bayshore - Belltown,July 2020,69,8
Beacon Hill South - Cardinal Heights,April 2021,618,54
Beacon Hill South - Cardinal Heights,March 2021,149,13
Beacon Hill South - Cardinal Heights,February 2021,309,27
Beacon Hill South - Cardinal Heights,January 2021,332,29
Beacon Hill South - Cardinal Heights,December 2020,172,15
Beacon Hill South - Cardinal Heights,November 2020,137,12
Beacon Hill South - Cardinal Heights,October 2020,240,21
Beacon Hill South - Cardinal Heights,September 2020,195,17
Beacon Hill South - Cardinal Heights,August 2020,69,6
Beacon Hill South - Cardinal Heights,July 2020,Suppressed,<5
Beaverbrook,April 2021,468,35
Beaverbrook,March 2021,147,11
Beaverbrook,February 2021,Suppressed,<5
Beaverbrook,January 2021,80,6
Beaverbrook,December 2020,Suppressed,<5
Beaverbrook,November 2020,Suppressed,<5
Beaverbrook,October 2020,153,11
Beaverbrook,September 2020,Suppressed,<5
Beaverbrook,August 2020,Suppressed,<5
Beaverbrook,July 2020,Suppressed,<5
Beechwood Cemetery,April 2021,Suppressed,<5
Beechwood Cemetery,March 2021,Suppressed,<5
Beechwood Cemetery,February 2021,Suppressed,<5
Beechwood Cemetery,January 2021,Suppressed,<5
Beechwood Cemetery,December 2020,Suppressed,<5
Beechwood Cemetery,November 2020,Suppressed,<5
Beechwood Cemetery,October 2020,Suppressed,<5
Beechwood Cemetery,September 2020,Suppressed,<5
Beechwood Cemetery,August 2020,Suppressed,<5
Beechwood Cemetery,July 2020,Suppressed,<5
Bells Corners East,April 2021,575,30
Bells Corners East,March 2021,212,11
Bells Corners East,February 2021,Suppressed,<5
Bells Corners East,January 2021,Suppressed,<5
Bells Corners East,December 2020,Suppressed,<5
Bells Corners East,November 2020,Suppressed,<5
Bells Corners East,October 2020,96,5
Bells Corners East,September 2020,Suppressed,<5
Bells Corners East,August 2020,Suppressed,<5
Bells Corners East,July 2020,Suppressed,<5
Bells Corners West,April 2021,341,16
Bells Corners West,March 2021,265,13
Bells Corners West,February 2021,Suppressed,<5
Bells Corners West,January 2021,170,8
Bells Corners West,December 2020,105,5
Bells Corners West,November 2020,130,6
Bells Corners West,October 2020,210,10
Bells Corners West,September 2020,246,12
Bells Corners West,August 2020,Suppressed,<5
Bells Corners West,July 2020,Suppressed,<5
Billings Bridge - Alta Vista,April 2021,605,87
Billings Bridge - Alta Vista,March 2021,334,48
Billings Bridge - Alta Vista,February 2021,223,32
Billings Bridge - Alta Vista,January 2021,202,29
Billings Bridge - Alta Vista,December 2020,132,19
Billings Bridge - Alta Vista,November 2020,42,6
Billings Bridge - Alta Vista,October 2020,204,29
Billings Bridge - Alta Vista,September 2020,156,22
Billings Bridge - Alta Vista,August 2020,Suppressed,<5
Billings Bridge - Alta Vista,July 2020,Suppressed,<5
Blackburn Hamlet,April 2021,689,62
Blackburn Hamlet,March 2021,166,15
Blackburn Hamlet,February 2021,Suppressed,<5
Blackburn Hamlet,January 2021,180,16
Blackburn Hamlet,December 2020,89,8
Blackburn Hamlet,November 2020,Suppressed,<5
Blackburn Hamlet,October 2020,177,16
Blackburn Hamlet,September 2020,66,6
Blackburn Hamlet,August 2020,56,5
Blackburn Hamlet,July 2020,Suppressed,<5
Borden Farm - Fisher Glen,April 2021,544,44
Borden Farm - Fisher Glen,March 2021,415,34
Borden Farm - Fisher Glen,February 2021,160,13
Borden Farm - Fisher Glen,January 2021,224,18
